seed,model,initial_performance,final_performance,best_performance,worst_performance,improvement_percentage,convergence_checkpoint,total_checkpoints,std_deviation,mean_performance
seed2,adaptiveclipping,1853.621572248657,566.7383426050033,489.78334260500327,1853.621572248657,69.42534813524617,390,50,196.37019333061107,617.4349106662514
seed2,adaptivelearning,2292.687246266846,524.6802426050033,501.4060826050033,2292.687246266846,77.11505381035579,400,50,253.85420164193633,646.2547591259207
seed2,both,1984.9303484541138,530.3540626050034,525.0992144359248,1984.9303484541138,73.28097366146629,190,50,214.79448362778257,634.8332794831592
seed2,vanilla,2013.1598386777596,532.485333408641,532.485333408641,2013.1598386777596,73.54977368521435,500,50,227.53038602560784,704.9448074294845
seed0,adaptiveclipping,2497.329648006822,581.5260426050033,538.4603334086411,2497.329648006822,76.71408566069229,360,50,291.82620313592963,684.7131687570825
seed0,generalized,2388.858950641381,561.6343826050033,500.2139872941299,2388.858950641381,76.48942887757308,440,50,305.67355460391633,762.7355403169751
seed0,adaptivelearning,2263.9981846595706,618.1236126959489,506.6179880068222,2263.9981846595706,72.69769839550936,450,50,268.7004160110082,680.2384311527583
seed0,both,2457.6419192577514,548.9631826050033,496.6471734086411,2457.6419192577514,77.66301191791197,590,75,259.5286883689355,676.9842706058574
seed0,vanilla,2328.414100417735,543.5255226050033,506.09602260500327,2328.414100417735,76.65683597657777,430,50,278.72538320952975,669.9082015786121
seed1,adaptiveclipping,1840.2418620250112,621.4848226050034,537.2312626050033,1840.2418620250112,66.22809015326287,480,50,222.7993848471035,717.97271970454
seed1,generalized,1547.3215026050032,685.1221226050034,496.95464260500324,1547.3215026050032,55.722057668586544,780,100,188.16664199328685,694.478208505867
seed1,adaptivelearning,1732.3623030522945,534.3795760432005,527.4855226050033,1732.3623030522945,69.15312835532943,430,50,246.26370922680496,701.231568724937
seed1,both,1444.514323414145,580.7095226050034,519.2453328286491,1444.514323414145,59.79897788535027,430,50,183.47968475511456,671.4723379308012
seed1,vanilla,1278.8339226050032,513.3745026050033,504.7908826050033,1278.8339226050032,59.856045923519765,450,50,152.45148577771147,672.8649802099222
